F83,F71-ryan@apache.org,F71-chrism@apache.org,F71-anshum@apache.org,F71-shalin@apache.org,F71-rmuir@apache.org,F71-sarowe@apache.org,F71-simonw@apache.org,F71-hossman@apache.org,F71-jpountz@apache.org,F71-buschmi@apache.org,F71-markrmiller@apache.org,F71-noble@apache.org,F71-yonik@apache.org,F71-mikemccand@apache.org,F71-shaie@apache.org,F71-rjernst@apache.org,F71-romseygeek@apache.org,F71-erick@apache.org,F71-dweiss@apache.org,F71-uschindler@apache.org,F74,F85,F73,F84,F146,F147,
234,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,4125,1,25862,234,4125,3892,
234,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,4125,1,25862,234,4125,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
788,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,4679,1,25862,234,4125,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
2669,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,6560,1,25862,234,4125,3892,
2669,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,6560,1,25862,234,4125,3892,
2669,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,6560,1,25862,234,4125,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12202,1,25862,234,4125,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12202,1,25862,234,4125,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
399,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,4290,1,25862,234,4125,3892,
399,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,4290,1,25862,234,4125,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,400,4291,3892,
8311,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,400,4291,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4860,1,25862,400,4291,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1696,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,5587,1,25862,399,4290,3892,
1510,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5401,1,25862,399,4290,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
788,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4679,1,25862,399,4290,3892,
788,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4679,1,25862,399,4290,3892,
788,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4679,1,25862,399,4290,3892,
788,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4679,1,25862,399,4290,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
1510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,5401,1,25862,388,4279,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,18246,388,4279,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,18246,388,4279,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,18246,388,4279,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,18246,388,4279,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,18246,388,4279,3892,
969,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,18246,388,4279,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
8311,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,12202,1,25862,388,4279,3892,
6351,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,10242,1,25862,388,4279,3892,
6351,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,10242,1,25862,388,4279,3892,
8311,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,12202,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
1510,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5401,1,25862,388,4279,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
1813,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,5704,1,25862,399,4290,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8908,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12799,1,25862,400,4291,3892,
8908,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12799,1,25862,400,4291,3892,
8908,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12799,1,25862,400,4291,3892,
8908,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12799,1,25862,400,4291,3892,
8908,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12799,1,25862,400,4291,3892,
8908,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12799,1,25862,400,4291,3892,
8908,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12799,1,25862,400,4291,3892,
8908,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12799,1,25862,400,4291,3892,
1510,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5401,1,25862,400,4291,3892,
1510,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5401,1,25862,400,4291,3892,
1510,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5401,1,25862,400,4291,3892,
1510,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5401,1,25862,400,4291,3892,
2851,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,6742,1,25862,400,4291,3892,
2851,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,6742,1,25862,400,4291,3892,
2851,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,6742,1,25862,400,4291,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,1924,397,4288,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,1924,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
5336,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,9227,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
969,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4860,1,25862,397,4288,3892,
969,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4860,1,25862,397,4288,3892,
969,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4860,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8036,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11927,1,1924,397,4288,3892,
8036,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11927,1,1924,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4679,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
788,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4679,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
399,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4290,1,25862,397,4288,3892,
399,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4290,1,25862,397,4288,3892,
399,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4290,1,25862,397,4288,3892,
399,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4290,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4679,1,25862,397,4288,3892,
6351,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10242,1,25862,397,4288,3892,
3462,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7353,1,25862,397,4288,3892,
3462,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7353,1,25862,397,4288,3892,
3462,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7353,1,25862,397,4288,3892,
1300,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5191,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
399,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4290,1,25862,397,4288,3892,
399,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4290,1,25862,397,4288,3892,
3462,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7353,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
2851,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6742,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
8311,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12202,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
969,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,25862,397,4288,3892,
969,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4860,1,25862,397,4288,3892,
1845,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5736,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4679,1,25862,397,4288,3892,
788,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4679,1,25862,397,4288,3892,
6351,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10242,1,25862,397,4288,3892,
6351,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10242,1,25862,397,4288,3892,
6351,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10242,1,25862,397,4288,3892,
6351,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10242,1,25862,397,4288,3892,
2851,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6742,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
788,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4679,1,25862,397,4288,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
628,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4519,1,25862,55,3946,3892,
969,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4860,1,25862,55,3946,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
2851,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6742,1,25862,388,4279,3892,
2851,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6742,1,25862,388,4279,3892,
967,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4858,1,25862,1,3892,3892,
