F72,F54,F55,F25,F64,F67,F69,F101,F102,F105,F108,F3-Class,F3-Among[],F3-String,F3-int,F7-++,F13-private,F18-public,F1-find_among_b,F5-java.lang.RuntimeException,F15-protected,F15-public,F4-boolean,F4-int,F94,F95,F22,F112,F116,F117,F118,F120,F110,F121,F122,F123,F77,F70,F41,F43,F46,F126,F127,F129,F36,F130,F131,F132,F37,F134,F135,F136,F83,F71-chrism@apache.org,F71-sarowe@apache.org,F71-gsingers@apache.org,F71-jpountz@apache.org,F71-markrmiller@apache.org,F71-noble@apache.org,F71-yonik@apache.org,F71-mikemccand@apache.org,F71-shaie@apache.org,F71-rjernst@apache.org,F71-romseygeek@apache.org,F74,F73,F84,category
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
6560,org/apache/lucene/analysis,org/apache/lucene/analysis/MockPayloadAnalyzer.java,365,1209,2,1,0.7789473684210526,56,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,2,9.74184120798831E-4,-1.0,0.0,0.0,0.5912033041944769,-0.75,0.01829924650161464,0.1652314316469322,0.5912033041944769,8329,12220,44,1,0.009630702465407261,137,72,209,0,65,0.011677087324025523,8457,0,454,11868,5500,2669,0,0,0,0,0,0,0,1,0,0,0,6560,25862,234,open
6560,org/apache/lucene/analysis,org/apache/lucene/analysis/MockPayloadAnalyzer.java,365,1209,2,1,0.6421052631578947,56,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,2,9.74184120798831E-4,0.0,0.36363636363636365,0.01285583103764922,0.16718586835420737,-0.2,0.004036598493003229,0.06001076426264801,0.16718586835420737,13367,17258,44,1,0.009630702465407261,137,72,209,0,65,0.011677087324025523,8457,0,454,11868,5500,2669,1,1,0,0,0,0,0,1,1,0,0,6560,25862,234,open
6560,org/apache/lucene/analysis,org/apache/lucene/analysis/MockPayloadAnalyzer.java,365,1209,2,1,0.6947368421052632,56,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,3,9.74184120798831E-4,0.0,0.36363636363636365,0.01285583103764922,0.16718586835420737,-0.2,0.004036598493003229,0.06001076426264801,0.16718586835420737,13367,17258,44,1,0.009630702465407261,137,72,209,0,65,0.011677087324025523,8457,0,454,11868,5500,2669,1,1,0,0,0,0,0,1,1,0,0,6560,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
12934,org/apache/lucene/analysis,org/apache/lucene/analysis/MockRandomLookaheadTokenFilter.java,1087,1209,1,14,0.8282828282828283,67,0.7105263157894737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,3,7.306380905991232E-4,-1.0,0.6666666666666666,0.005050505050505051,0.5912033041944769,0.36363636363636365,0.01829924650161464,0.1652314316469322,0.5912033041944769,9043,12934,44,1,0.009630702465407261,74,0,74,0,74,0.04654088050314465,8457,0,454,11868,5500,8311,0,0,0,0,0,0,0,1,0,0,0,12202,25862,234,open
12934,org/apache/lucene/analysis,org/apache/lucene/analysis/MockRandomLookaheadTokenFilter.java,1087,1209,1,1,0.32323232323232326,67,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,3,7.306380905991232E-4,0.0,0.36363636363636365,0.01285583103764922,0.16718586835420737,-0.2,0.004036598493003229,0.06001076426264801,0.16718586835420737,9043,12934,44,1,0.009630702465407261,74,0,74,0,74,0.04654088050314465,8457,0,454,11868,5500,8311,0,0,0,0,0,0,0,1,0,0,0,12202,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
4309,org/apache/lucene/analysis,org/apache/lucene/analysis/Token.java,53,1209,1,1,0.9146919431279621,131,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,2,3,4.870920603994155E-4,0.0,0.23076923076923078,0.004034427111350188,0.5912033041944769,-0.38461538461538464,0.01829924650161464,0.1652314316469322,0.5912033041944769,15732,19623,44,1,0.009630702465407261,1859,289,2166,3,1570,0.12465571959550081,8457,0,454,11868,5500,399,0,1,0,0,0,0,0,1,1,0,1,4290,25862,234,close
4309,org/apache/lucene/analysis,org/apache/lucene/analysis/Token.java,53,1209,1,1,0.919431279620853,131,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,33,2,3,4.870920603994155E-4,0.0,0.23076923076923078,0.004034427111350188,0.5912033041944769,-0.38461538461538464,0.01829924650161464,0.1652314316469322,0.5912033041944769,9145,13036,44,1,0.009630702465407261,1859,289,2166,3,1570,0.12465571959550081,8457,0,454,11868,5500,399,0,0,0,0,0,0,0,1,1,0,1,4290,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19872,org/apache/lucene/analysis/ar,org/apache/lucene/analysis/ar/ArabicStemmer.java,2077,202,1,1,0.36666666666666664,75,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4.870920603994155E-4,0.0,0.25806451612903225,0.015955601803676726,0.16067158142928858,-0.3548387096774194,0.0034983853606027986,0.03336921420882669,0.16067158142928858,17155,21046,17,0,0.07083333333333333,285,156,441,0,129,0.07754649785360097,1160,0,6,1792,534,8311,0,0,0,0,0,0,0,0,0,0,0,12202,25862,400,close
19872,org/apache/lucene/analysis/ar,org/apache/lucene/analysis/ar/ArabicStemmer.java,2077,202,1,1,0.4533333333333333,75,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4.870920603994155E-4,0.0,0.25806451612903225,0.015955601803676726,0.16067158142928858,-0.3548387096774194,0.0034983853606027986,0.03336921420882669,0.16067158142928858,17155,21046,17,0,0.07083333333333333,285,156,441,0,129,0.07754649785360097,1160,0,6,1792,534,8311,0,0,0,0,0,0,0,0,0,0,0,12202,25862,400,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
17957,org/apache/lucene/analysis/br,org/apache/lucene/analysis/br/BrazilianStemmer.java,1791,743,1,4,0.4189453125,764,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2.4354603019970775E-4,1.0,0.4,0.005454545454545454,0.5912033041944769,-0.2,0.01829924650161464,0.1652314316469322,0.5912033041944769,20684,24575,17,0,0.024285714285714285,2574,917,3491,0,1657,0.21705826061314581,3294,0,8,4590,2006,969,0,0,0,0,0,0,1,0,0,0,0,4860,25862,400,close
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.01073812518138725,30657,0.6666666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,1,10,9,2,0.00219191427179737,-1.0,0.2925170068027211,0.004703427443952225,0.5912033041944769,-0.2789115646258503,0.01829924650161464,0.1652314316469322,0.5912033041944769,14066,17957,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.9595627358034245,30657,0.6666666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,1,10,9,2,0.00219191427179737,-1.0,0.2925170068027211,0.004703427443952225,0.5912033041944769,-0.2789115646258503,0.01829924650161464,0.1652314316469322,0.5912033041944769,14066,17957,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.07126503498758505,30657,0.6666666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,1,10,9,2,0.00219191427179737,-1.0,0.2925170068027211,0.004703427443952225,0.5912033041944769,-0.2789115646258503,0.01829924650161464,0.1652314316469322,0.5912033041944769,14066,17957,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.9555319080326335,30657,0.8888888888888888,1,0,0,1,1,0,0,0,0,0,0,0,0,1,10,9,3,0.00219191427179737,-1.0,0.2925170068027211,0.004703427443952225,0.5912033041944769,-0.2789115646258503,0.01829924650161464,0.1652314316469322,0.5912033041944769,10135,14026,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,0,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.9885132302661567,30657,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,0.00219191427179737,-1.0,0.26666666666666666,0.0044444444444444444,0.5912033041944769,-0.4,0.01829924650161464,0.1652314316469322,0.5912033041944769,14083,17974,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.9745574151107671,30657,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,0.00219191427179737,-1.0,0.7088607594936709,0.011465399063540388,0.16718586835420737,0.46835443037974683,0.004036598493003229,0.06001076426264801,0.16718586835420737,14066,17957,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,2,0.9728805907581181,30657,0.5499999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,0.00219191427179737,-1.0,0.7088607594936709,0.011465399063540388,0.16718586835420737,0.46835443037974683,0.004036598493003229,0.06001076426264801,0.16718586835420737,14083,17974,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.973461029957112,30657,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,0.00219191427179737,-1.0,0.7088607594936709,0.011465399063540388,0.16718586835420737,0.46835443037974683,0.004036598493003229,0.06001076426264801,0.16718586835420737,14066,17957,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
17957,org/apache/lucene/analysis/charfilter,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,70,2,1,0.9681725839218341,30657,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,2,0.00219191427179737,0.0,0.2608695652173913,0.010712035286704473,0.16718586835420737,-0.33695652173913043,0.004036598493003229,0.06001076426264801,0.16718586835420737,14083,17974,0,0,0.005494505494505495,89919,90446,181374,0,-527,0.27090668782726296,90623,0,1028,182494,-220,1696,0,1,0,0,0,0,1,1,0,1,0,5587,25862,399,open
